2*1009	1323	در خصوص کسب‌وکار حوزه‌ تخصصی خود، از دانش مناسب با وظایف خود برخوردار است.
2*1009	1324	در خصوص کسب‌وکار حوزه‌ تخصصی خود، از آگاهی متناسب با وظایف خود برخوردار است.
2*1009	1325	در خصوص برنامه‌ریزی، سازماندهی، نظارت و کنترل بر بخش‌های خدمات و تشریفات، تدارکات، امور نقلیه و امور مربوط به پیمانکاران (انتظامات،‌ تأسیسات و ...) از دانش مناسب و توانایی متناسب با وظایف خود برخوردار است.
2*1009	1326	تعامل مناسبی با ذینفعان بیرونی شرکت دارد.
2*1009	1327	دانش و توانمندی لازم برای مدیریت انبارگردانی و فرایندهای مرتبط را دارا می‌باشد.
2*1009	613	با کلیه همکاران تعامل سازنده دارد. (تعامل سازنده یعنی اهداف سازمانی و وظایف کاری خود را درک می‌کند، نسبت به آن‌ها حساس است و به صورت مشهودی در راستای تحقق آن‌ها با دیگران تعامل می‌نماید)
2*1009	614	در حین انجام کار به اطرافیان توجه نموده و در صورت لزوم از ایشان حمایت و پشتیبانی می‌کند.
2*1009	615	در مواجهه با مشکلات و مسائل به انتقاد صرف اکتفا نمی‌کند و در راستای حل مسائل و رفع مشکلات تلاش می‌نماید.
2*1009	616	در صورت امکان در راستای توسعه همکاران و ارتقای سطح دانش و مهارت ایشان اقدام می‌نماید.
2*1009	617	توانایی تهیه و تدوین مستندات و گزارش‎های مربوط به حوزه کاری را دارا است. (در مستندسازی گزارش‌ها،‌ موارد کاربرد، صورتجلسات و ... دارای مهارت مشهود است)
2*1009	618	در انجام وظایف خود،‌ توأمان از سرعت عمل و دقت مناسبی برخوردار است. (کارها را با دقت مناسب و در زمان مقتضی انجام می‌دهد)
2*1009	619	وقت شناس است. (از لحاظ زمان حضور در سازمان، شرکت در جلسات، ‌پایبندی به زمان‌های تحویل و ...)
2*1009	620	مسئولیت‌پذیر است و برای انجام وظایف محوله تلاش می‌‌کند.
2*1009	621	دانش و مهارت‌ خود را در انجام وظایف محوله به نحو مطلوبی به کار می‌گیرد. (در مقایسه با افراد همکار و هم‌رده خود)
2*1009	117	دارای احساس تعلق سازمانی است و نسبت به سازمان و منافع آن احساس تعهد می‌‌کند.
2*1009	119	از انگیزه کافی جهت آموختن مطالب جدید و افزایش دانش و مهارت‌های خود برخوردار است. (شخصیت یادگیرنده دارد)
2*1009	121	در حوزه کاری خود برنامه‌ریزی و اولویت‌بندی مناسب دارد. (اهداف کاری را به درستی شناسایی می‌کند و کارها را برنامه‌ریزی و اولویت بندی کرده و با نظم مناسبی به اجرای آن‌ها مبادرت می‌ورزد)
2*1009	122	در مواقع بحرانی به درستی عمل می‌کند.
